name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genre
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,2022-07-07,159124,66,0.853,0.18,0.853,0.471,0.000136,0.207,-7.766,0.234,104.021,4,"afro dancehall,dancehall,nigerian hip hop,nigerian pop"
10 Toes (feat. Omah Lay),5 Star,King Promise,2022-07-22,177067,56,0.751,0.139,0.751,0.564,3.02e-06,0.142,-7.837,0.164,103.952,4,"afropop,azontobeats,ghanaian alternative,ghanaian pop"
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,2022-04-08,251286,72,0.582,0.308,0.582,0.695,5.9e-06,0.112,-5.506,0.0975,101.005,4,"afro r&b,ghanaian pop"
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,2022-06-10,147580,71,0.649,0.307,0.649,0.655,0.0,0.22,-5.534,0.0652,92.9,4,"afropop,azontobeats,nigerian pop"
Buga (Lo Lo Lo),Buga (Lo Lo Lo),Kizz Daniel,2022-05-03,183103,74,0.92,0.296,0.92,0.716,0.00222,0.104,-7.104,0.105,115.991,4,"afropop,azontobeats,nigerian pop"
Overloading (OVERDOSE),Overloading (OVERDOSE),Mavins,2022-05-13,205000,71,0.546,0.484,0.546,0.611,0.00149,0.101,-9.459,0.172,104.059,4,"afro dancehall,afropop,azontobeats,nigerian pop"
Bandana,Bandana,Fireboy DML,2022-07-13,178225,70,0.818,0.293,0.818,0.605,0.0116,0.0696,-7.121,0.038,104.931,4,afro dancehall
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,2022-06-17,146840,74,0.729,0.115,0.729,0.634,1.35e-05,0.0997,-7.194,0.175,171.862,4,"dance pop,pop,pop rap,r&b,rap"
Finesse,Finesse,Pheelz,2022-03-03,151764,63,0.861,0.504,0.861,0.537,0.0,0.289,-8.199,0.159,102.014,4,"afropop,nigerian pop"
i’m a mess,Boy Alone,Omah Lay,2022-07-15,153946,58,0.862,0.309,0.862,0.632,0.0256,0.112,-6.217,0.11,93.909,4,afro dancehall
